file_id,file_name,sha256,size_bytes,page_count,pdf_metadata_title,pdf_metadata_author,pdf_metadata_subject,pdf_metadata_keywords,extraction_status,extraction_error,created_at
F0001,10.1038@s41377-019-0227-x.pdf,2d108e43ccfbbf07efb1cdd3c564e73fbb89bb9381fe15e7bc122de8af5748c3,1719120,14,Cooperative interactions between nano-antennas in a high-Q cavity for unidirectional light sources,Kévin G. Cognée,"Light: Science & Applications, doi:10.1038/s41377-019-0227-x",,ok,,2026-05-16T10:43:35+00:00
F0002,1909.12618.pdf,b7908c7698fde90526140e1e6b04ebf9f149ed90db3143d5ba70f693fdc24017,3361547,7,,,,,ok,,2026-05-16T10:43:35+00:00
F0003,[Nanophotonics] Nonradiating photonics with resonant dielectric nanostructures.pdf,727079989aafc1e2c9cdb71e48dba1493ec4d77c9e1d62ea0089fb4803e1148d,1616318,21,,,,,ok,,2026-05-16T10:43:35+00:00
F0004,acsphotonics.6b00026.pdf,28aa5e71dc22ce7ecbe650cbbbf11ebb7419d87c02487cacac66b7645fd9fdb2,445539,5,ph6b00026 1..5,"Emma C. Regan, Yichen Shen, Josue J. Lopez, Chia Wei Hsu, Bo Zhen, John D. Joannopoulos, and Marin Soljačić",ACS Photonics 2016.3:532-536,"all-dielectric,surface resonance,photonic crystal,light confinement,substrate-independent,bioinspired",ok,,2026-05-16T10:43:35+00:00
F0005,Advanced Photonics2021-单胞高Q.pdf,9bcb985ca6155f2d7a1f97a9bdf0b2684dd94f1f9adebf66762a8bf3327c6633,4429756,9,,,,,ok,,2026-05-16T10:43:35+00:00
F0006,Analytical Perspective of Interfering Resonances in.pdf,f8bb67ba90786e5ad5d9f544bdfd6786ebe1b5bae58c2926575087cd1f494a78,1812384,9,untitled,,,,ok,,2026-05-16T10:43:35+00:00
F0007,Bound States in the Continuum in Open Aharonov–Bohm Rings.pdf,21b5e9e5a7f616122d9703c0055751108170e496586bb34c372bb27ab564fdf2,233661,6,Bound states in the continuum in open Aharonov-Bohm rings,,,,ok,,2026-05-16T10:43:35+00:00
F0008,Bound states within the radiation continuum in diffraction grating and the role of leaky modes.pdf,bd7422ca7838743e9a5d036a9801f37fa0d8f65e88adcf0ac8838b2f0b1efd4b,1262787,9,Bound states within the radiation continuum in diffraction gratings and the role of leaky modes,Francesco Monticone,"New Journal of Physics, 19(2017) 093011. doi:10.1088/1367-2630/aa849f",leaky waves; diffraction gratings; Wood’s anomalies; Fano resonances; embedded eigenstates,ok,,2026-05-16T10:43:35+00:00
F0009,Compact Surface Fano States Embedded in the Continuum of Waveguide Arrays.pdf,372e437e244b03a80172fad6255e739f4578933a9f51a69fe601dd808bd99c87,992178,5,untitled,,,,ok,,2026-05-16T10:43:35+00:00
F0010,Dielectric microcavities Model systems for wave chaos.pdf,4d64ef72a8305ac96c9d02ef34b73ffafe02dc01e7715e5ec82f22e08ad1ceca,14143700,51,untitled,,,,ok,,2026-05-16T10:43:35+00:00
F0011,Embedded Photonic Eigenvalues in 3D Nanostructures.pdf,9d36f34a874ac1f5960c2ce30b6406c9fcc2af2749c3942a3434bd9cbceb84c4,2731817,5,untitled,,,,ok,,2026-05-16T10:43:35+00:00
F0012,Embedded Rayleigh–Bloch surface waves along periodic rectangular arrays.pdf,f3df1f3388e407daa5106557c9060b4110ea9b1e239a51cd69ca52f99483d557,503427,22,doi:10.1016/j.wavemoti.2005.05.005,,,,ok,,2026-05-16T10:43:35+00:00
F0013,Experimental Observation of Optical Bound States in the Continuum.pdf,861a0b9c7748fdacbdf53a8e16524c10459ffb505fca44210641058140242b9f,334832,4,untitled,,,,ok,,2026-05-16T10:43:35+00:00
